subjectID	optionA	optionB	quantityA	quantityB	sideA
2aa5e0b3	War	Doctor	0	1	right
2aa5e0b3	Lake	Crow	1	0	right
2aa5e0b3	Lake	Fire	1	0	left
2aa5e0b3	Lake	Cat	0	1	right
2aa5e0b3	Crow	Fire	1	0	left
2aa5e0b3	Doctor	Fire	1	0	right
2aa5e0b3	Lake	Frustrated	1	0	right
2aa5e0b3	Cat	Fire	1	0	right
2aa5e0b3	Doctor	Cat	0	1	right
2aa5e0b3	Doctor	Crow	0	1	left
2aa5e0b3	Lake	Doctor	1	0	right
2aa5e0b3	War	Lake	0	1	left
2aa5e0b3	Frustrated	Doctor	0	1	left
